userid,newsid,taskid,topic,topic_pref,equality,imp_position,viewport_time,dwell_time,read_ratio,read_speed,direction_change_times,pre_pref,read_pref,post_pref
25,99,8,历史,3,0,1,5741.0,29.0,0.848787803049,234.206896552,6.0,4.0,4.0,4.0
25,7,8,科技,4,1,2,11927.0,77.0,0.796284981058,84.6233766234,18.0,3.0,4.0,5.0
25,129,8,历史,3,1,3,15524.0,,,,,,,5.0
25,128,8,历史,3,0,4,22048.0,,,,,,,3.0
25,28,8,历史,3,0,5,14134.0,,,,,,,3.0
25,217,8,体育,3,1,6,22393.0,,,,,,,4.0
25,47,8,娱乐,5,0,7,19891.0,,,,,,,3.0
25,31,8,娱乐,5,0,8,23299.0,,,,,,,4.0
25,70,8,社会,4,0,9,9995.0,,,,,,,4.0
25,232,8,科技,4,0,10,7002.0,108.0,0.829144309517,54.3703703704,4.0,3.0,4.0,4.0
25,147,8,娱乐,5,1,11,6077.0,,,,,,,3.0
25,241,8,历史,3,0,12,13274.0,,,,,,,3.0
25,124,8,历史,3,1,13,9268.0,,,,,,,3.0
25,190,8,社会,4,1,14,5374.0,,,,,,,3.0
25,97,8,体育,3,0,15,29.0,,,,,,,3.0
25,239,6,娱乐,5,1,1,5259.0,,,,,,,3.0
25,216,6,体育,3,1,2,10079.0,17.0,0.731945059814,194.352941176,1.0,4.0,4.0,4.0
25,113,6,社会,4,1,3,15004.0,,,,,,,3.0
25,134,6,社会,4,1,4,66945.0,,,,,,,4.0
25,68,6,科技,4,1,5,67258.0,35.0,0.275383562983,80.5142857143,2.0,4.0,3.0,2.0
25,91,6,体育,3,1,6,63437.0,52.0,0.781726686586,95.5961538462,4.0,4.0,4.0,4.0
25,30,6,社会,4,1,7,12207.0,,,,,,,4.0
25,94,6,娱乐,5,1,8,10634.0,,,,,,,4.0
25,142,6,体育,3,1,9,14599.0,,,,,,,4.0
25,207,6,科技,4,1,10,10562.0,,,,,,,4.0
25,78,6,娱乐,5,1,11,7594.0,,,,,,,3.0
25,1,6,历史,3,1,12,4211.0,,,,,,,4.0
25,101,6,历史,3,1,13,7656.0,37.0,0.878587196468,236.648648649,6.0,4.0,3.0,4.0
25,57,6,科技,4,1,14,7276.0,,,,,,,3.0
25,164,6,历史,3,1,15,2636.0,32.0,0.275135773318,182.0625,2.0,4.0,3.0,4.0
27,86,11,社会,5,0,1,2763.0,248.0,0.66106442577,9.51612903226,11.0,4.0,1.0,2.0
27,244,11,社会,5,1,2,9987.0,31.0,0.739728973973,110.935483871,9.0,3.0,3.0,3.0
27,236,11,社会,5,1,3,13875.0,,,,,,,2.0
27,150,11,社会,5,1,4,10219.0,31.0,0.847250788427,199.322580645,8.0,3.0,3.0,3.0
27,176,11,社会,5,1,5,5346.0,,,,,,,4.0
27,136,11,社会,5,0,6,3066.0,,,,,,,4.0
27,92,11,社会,5,1,7,2526.0,,,,,,,2.0
27,195,11,社会,5,1,8,798.0,,,,,,,4.0
27,107,11,社会,5,0,9,687.0,,,,,,,4.0
27,105,11,社会,5,0,10,668.0,,,,,,,2.0
27,119,11,社会,5,1,11,709.0,,,,,,,3.0
27,180,11,社会,5,1,12,8361.0,,,,,,,4.0
27,75,11,社会,5,0,13,20448.0,32.0,0.605863192182,58.125,6.0,4.0,3.0,4.0
27,205,11,社会,5,0,14,20235.0,13.0,0.73075211393,252.615384615,10.0,4.0,4.0,4.0
27,184,11,社会,5,1,15,7948.0,,,,,,,2.0
27,118,4,历史,3,1,1,1254.0,40.0,0.651698330455,56.6,6.0,4.0,2.0,1.0
27,226,4,历史,3,1,2,3548.0,,,,,,,2.0
27,212,4,历史,3,1,3,7418.0,,,,,,,1.0
27,199,4,娱乐,4,1,4,10992.0,,,,,,,1.0
27,235,4,娱乐,4,1,5,11166.0,,,,,,,2.0
27,208,4,娱乐,4,1,6,10468.0,,,,,,,2.0
27,15,4,体育,4,1,7,6862.0,,,,,,,2.0
27,189,4,体育,4,1,8,4110.0,,,,,,,2.0
27,204,4,体育,4,1,9,3223.0,106.0,0.911943719864,108.839622642,8.0,4.0,4.0,3.0
27,83,4,科技,4,1,10,4070.0,42.0,0.821901677951,132.952380952,13.0,4.0,3.0,2.0
27,37,4,科技,4,1,11,4001.0,,,,,,,5.0
27,4,4,科技,4,1,12,3229.0,,,,,,,3.0
27,211,4,社会,5,1,13,162.0,,,,,,,2.0
27,186,4,社会,5,1,14,94.0,,,,,,,4.0
27,89,4,社会,5,1,15,11.0,,,,,,,2.0
27,213,1,历史,3,1,1,3011.0,,,,,,,2.0
27,76,1,历史,3,1,2,6298.0,,,,,,,1.0
27,108,1,历史,3,1,3,16375.0,16.0,0.844976342889,379.5,7.0,4.0,3.0,2.0
27,230,1,娱乐,4,1,4,21002.0,,,,,,,2.0
27,131,1,娱乐,4,1,5,16662.0,,,,,,,2.0
27,242,1,娱乐,4,1,6,10735.0,,,,,,,2.0
27,25,1,体育,4,1,7,3103.0,,,,,,,2.0
27,51,1,体育,4,1,8,4473.0,,,,,,,2.0
27,100,1,体育,4,1,9,3785.0,,,,,,,2.0
27,135,1,科技,4,1,10,2878.0,,,,,,,2.0
27,238,1,科技,4,1,11,5327.0,,,,,,,3.0
27,71,1,科技,4,1,12,8793.0,62.0,0.791988997765,74.3064516129,10.0,4.0,4.0,4.0
27,224,1,社会,5,1,13,12111.0,,,,,,,1.0
27,12,1,社会,5,1,14,6449.0,,,,,,,2.0
27,214,1,社会,5,1,15,2131.0,,,,,,,2.0
27,157,10,历史,3,0,1,1463.0,78.0,0.744940978078,45.3076923077,16.0,4.0,4.0,4.0
27,149,10,历史,3,0,2,3607.0,13.0,0.845781289829,510.461538462,8.0,4.0,2.0,2.0
27,0,10,历史,3,0,3,5295.0,,,,,,,2.0
27,215,10,历史,3,1,4,6301.0,,,,,,,3.0
27,228,10,历史,3,1,5,3766.0,81.0,0.790258276998,56.2839506173,6.0,4.0,4.0,4.0
27,151,10,历史,3,1,6,4616.0,27.0,0.941634489581,1092.88888889,12.0,4.0,3.0,4.0
27,18,10,历史,3,1,7,5460.0,,,,,,,2.0
27,33,10,历史,3,1,8,6029.0,,,,,,,2.0
27,87,10,历史,3,1,9,3434.0,,,,,,,2.0
27,133,10,历史,3,0,10,3130.0,,,,,,,2.0
27,26,10,历史,3,1,11,6197.0,,,,,,,2.0
27,46,10,历史,3,1,12,8424.0,,,,,,,2.0
27,209,10,历史,3,0,13,8515.0,,,,,,,2.0
27,144,10,历史,3,1,14,5311.0,,,,,,,2.0
27,112,10,历史,3,0,15,1599.0,,,,,,,2.0
27,79,5,历史,3,1,1,3197.0,,,,,,,1.0
27,237,5,历史,3,1,2,6644.0,,,,,,,2.0
27,106,5,历史,3,1,3,7695.0,,,,,,,3.0
27,116,5,娱乐,4,1,4,9841.0,,,,,,,1.0
27,120,5,娱乐,4,1,5,9690.0,,,,,,,2.0
27,137,5,娱乐,4,1,6,11329.0,,,,,,,2.0
27,223,5,体育,4,1,7,8111.0,,,,,,,2.0
27,185,5,体育,4,1,8,5283.0,22.0,0.861651040476,342.545454545,2.0,4.0,3.0,3.0
27,81,5,体育,4,1,9,9451.0,59.0,0.67110627888,41.8474576271,20.0,4.0,4.0,3.0
27,218,5,科技,4,1,10,7909.0,,,,,,,3.0
27,154,5,科技,4,1,11,6601.0,,,,,,,3.0
27,130,5,科技,4,1,12,1660.0,,,,,,,5.0
27,17,5,社会,5,1,13,1475.0,,,,,,,2.0
27,63,5,社会,5,1,14,937.0,,,,,,,3.0
27,141,5,社会,5,1,15,399.0,6.0,0.755011135857,621.5,2.0,4.0,3.0,1.0
27,179,3,历史,3,1,1,4174.0,,,,,,,2.0
27,192,3,历史,3,1,2,33984.0,,,,,,,2.0
27,39,3,历史,3,1,3,36337.0,,,,,,,3.0
27,20,3,娱乐,4,1,4,4637.0,60.0,0.91192283365,192.233333333,14.0,4.0,4.0,3.0
27,183,3,娱乐,4,1,5,4999.0,217.0,0.942287513116,91.0414746544,68.0,4.0,5.0,5.0
27,152,3,娱乐,4,1,6,3630.0,,,,,,,2.0
27,40,3,体育,4,1,7,2788.0,,,,,,,2.0
27,240,3,体育,4,1,8,2650.0,,,,,,,2.0
27,174,3,体育,4,1,9,2854.0,63.0,0.72247706422,50.0,3.0,4.0,4.0,5.0
27,36,3,科技,4,1,10,3545.0,,,,,,,3.0
27,22,3,科技,4,1,11,9280.0,,,,,,,2.0
27,88,3,科技,4,1,12,9461.0,,,,,,,3.0
27,23,3,社会,5,1,13,17565.0,13.0,0.815806878307,379.538461538,6.0,4.0,3.0,2.0
27,77,3,社会,5,1,14,9965.0,,,,,,,4.0
27,178,3,社会,5,1,15,6617.0,,,,,,,3.0
27,95,2,历史,3,1,1,1993.0,4.0,0.712998102467,751.5,0.0,3.0,3.0,2.0
27,8,2,历史,3,1,2,2103.0,,,,,,,2.0
27,193,2,历史,3,1,3,4679.0,,,,,,,3.0
27,50,2,娱乐,4,1,4,3996.0,59.0,0.931408164522,256.389830508,12.0,4.0,3.0,2.0
27,111,2,娱乐,4,1,5,6057.0,54.0,0.894096396996,174.166666667,16.0,4.0,3.0,4.0
27,82,2,娱乐,4,1,6,8440.0,,,,,,,2.0
27,162,2,体育,4,1,7,8604.0,,,,,,,3.0
27,161,2,体育,4,1,8,6708.0,,,,,,,3.0
27,158,2,体育,4,1,9,8239.0,,,,,,,2.0
27,210,2,科技,4,1,10,7895.0,,,,,,,3.0
27,143,2,科技,4,1,11,2874.0,189.0,1.04067339202,85.6931216931,52.0,4.0,5.0,5.0
27,34,2,科技,4,1,12,3841.0,,,,,,,3.0
27,102,2,社会,5,1,13,3792.0,,,,,,,3.0
27,55,2,社会,5,1,14,146.0,,,,,,,3.0
27,85,2,社会,5,1,15,40.0,,,,,,,2.0
27,73,7,社会,5,0,1,1073.0,14.0,0.582037996546,120.357142857,4.0,4.0,4.0,3.0
27,3,7,娱乐,4,0,2,2485.0,25.0,0.722158438576,125.8,4.0,4.0,1.0,2.0
27,29,7,科技,4,0,3,3068.0,11.0,0.76191493909,324.090909091,2.0,3.0,3.0,3.0
27,98,7,娱乐,4,1,4,7723.0,,,,,,,3.0
27,60,7,历史,3,1,5,7967.0,61.0,0.870585501859,122.852459016,14.0,3.0,3.0,3.0
27,243,7,历史,3,0,6,8392.0,,,,,,,2.0
27,140,7,体育,4,1,7,3730.0,,,,,,,3.0
27,69,7,科技,4,1,8,7777.0,,,,,,,4.0
27,104,7,历史,3,0,9,8476.0,,,,,,,2.0
27,9,7,体育,4,1,10,4810.0,,,,,,,2.0
27,21,7,历史,3,0,11,3481.0,,,,,,,1.0
27,67,7,社会,5,1,12,3136.0,,,,,,,2.0
27,166,7,娱乐,4,0,13,322.0,,,,,,,2.0
27,173,7,体育,4,0,14,194.0,,,,,,,2.0
27,93,7,科技,4,0,15,129.0,32.0,0.73164781548,103.09375,6.0,4.0,3.0,3.0
